Building Name,Building Use,Square Footage,Zone,Year Built,Year Acquired,Latitude,Longitude
1135 Broadway,Classroom/Admin,18408,MAIN_CAMP,1960,2019,40.00810961,-105.275666
1221 26Th Street,Residential,2754,MAIN_CAMP,,2021,40.00883086,-105.261656
1301 Walnut St,Classroom/Admin,4226,OFF_CAMPUS,,2018,40.01751214,-105.2777767
1330/1332 Grandview,Classroom/Admin,1776,GRANDVIEW,1949,1968,40.01132578,-105.2752737
1506 Broadway,Other,10977,GRANDVIEW,,2021,40.01175766,-105.2771489
1522 Broadway,Other,3491,GRANDVIEW,,2021,40.01193218,-105.2771837
2705 Colorado,Residential,1603,MAIN_CAMP,,2021,40.00850617,-105.2600728
2860 Wilderness Place,Research/Lab,63230,EASTCAMPN,1983,2014,40.02684036,-105.245992
4845 Pearl East Circle,Classroom/Admin,14565,OFF_CAMPUS,,2014,40.02172392,-105.2407135
Absaroka,Residential,126,MTN_RESEARCH,1920,,40.0305714,-105.5376656
Aden Hall,Residential,26941,MAIN_CAMP,1947,,40.0067824,-105.2653909
Administrative And Research Center- East Campus,Classroom/Admin,186279,EAST_CAMP,1969,,40.01320175,-105.2519213
Administrative And Research Center Mechanical Building,Other,131,EAST_CAMP,1969,,40.01310567,-105.251709
Aerospace Engineering Sciences,Research/Lab,185868,EAST_CAMP,2018,,40.01006772,-105.2438015
Albert And Vera Ramirez Temporary Building 1,Classroom/Admin,11169,MAIN_CAMP,1898,,40.01047102,-105.2705302
Alumni Center Garage Annex,Historic Bldg,1200,MAIN_CAMP,1884,,40.00975356,-105.2759837
Andrews Hall,Residential,61827,MAIN_CAMP,1963,,40.00308362,-105.2620948
Armory,Classroom/Admin,24976,GRANDVIEW,1915,,40.01096774,-105.2739012
Arnett Hall,Residential,61574,MAIN_CAMP,1964,,40.00336899,-105.2610777
Arts & Sciences Office Building 1,Classroom/Admin,8676,GRANDVIEW,1950,1963,40.01085235,-105.2735092
Aspen,Residential,506,MTN_RESEARCH,1920,,40.03119009,-105.5375736
Astrophysical Research Laboratory,Research/Lab,34435,EAST_CAMP,1981,,40.00798524,-105.2462385
Athens Court A1,Residential,7488,N_BLDR_CRK,1957,,40.0124328,-105.2695982
Athens Court A2,Residential,7488,N_BLDR_CRK,1957,,40.01243543,-105.2690249
Athens Court A3,Residential,7488,N_BLDR_CRK,1957,,40.01208811,-105.2695953
